,review,title,rating,purchased_product,date
0,"The UI is easily navigable, the speaker in the watch is loud and clear, it perfectly maps exercise, and keeps accurate track of steps, heart rate, and sleep.",Great Until It Wasn’t,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-09-05
1,My husband thought he was going to surprise me with an Apple Watch because I’ve only had Fitbits and have not liked the one I got last year.  He saw this item as a Black Friday deal and ordered it and we couldn’t believe it was delivered first thing this morning and was less than 24 hours from ordering.  My extreme frustration comes because I can’t charge it!!!!!  I read reviews on all types of products and went back to the reviews about how to charge the watch so I can at least set it up.  I actually had to type in and search for charger questions to find out what I needed.  The charging cord is included but it doesn’t have the adapter that the cord plugs into that goes into the wall.  To make it more frustrating it isn’t the standard usb adapter most households have tons of but needs a specific usb-c which I’ve never even seen before.  Why in the world is it not pointed out that you cannot charge the watch without this piece?  Am I the only person that would not have searched out this specific issue before buying the watch????,Very disappointed and haven’t even set up the watch yet,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-11-25
2,"This product isn’t worth it, I had this watch for a little over a month. I have a small wrist and bought the smaller version purposely. Well no matter what I did, picking up my 1 year old for example or shoving my hand in my pocket this watch would pop off my wrist even tho it wasn’t overnight or too loose. Well today in a store I picked up my toddler and bam it falls on the ground and breaks. I went to see if anything is covered under warranty and Amazon and Apple both said it’s not covered and if I want it fixed I need to pay another 200 dollars to get it repaid. Sad you pay a decent amount of money for these things and neither company will help you out. I should’ve stuck with the Fitbit or any other smart watch instead that was more durability and had an ACTUAL warranty that was focused on decent customer service.",Don’t waste your money,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-11-27
3,Sorry I bought this watch. Battery charge does not last very long- requires a charge at least 2 times a day. I have turned off heart monitor and GPS but the battery drains too fast. What is the point of having a smartwatch if you have to turn off any settings ? Buy a different smartwatch.,Battery drains very fast,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-09
4,I got 2 Apple Watch and both chargers cables doesn’t work at all and when I called the first person from costumer service she hung up on me and the second person can’t help me out to fix that problem. I do not recommend the company at all it’s sucks,Cable charger doesn’t work,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-05
5,"Had to return the watch because someone had bought it, synced it, and returned it. When we opened the boxed it was all shuffled inside like it had been repacked initially. Had to return and purchase a new one. Let’s hope the new one doesn’t have the same issue…",Had to return because it was USED,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2024-01-03
6,Very slow battery sucks doesnt even last half a day basically only being used to tell time dont buy this it sucks waste of 200 bucks cant even track her sleep or steps its always wrong we compared to my samsung watch and her fitbit.,It sucks,1.0,"['Color: Silver Aluminum Case with Winter Blue Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2024-01-04
7,"I couldn’t use the watch because it was connected to someone else’s iCloud account. Tech support was unable to help, so had to return. Very disappointed. If you’re going to buy second hand, I’d go straight to Apple.",Awful,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-20
8,"I purchased this watch for my grandmother on Prime Day in October for Christmas. Unfortunately, after wearing it twice, she had to return it to me due to burn marks on her arm caused by a malfunctioning battery.",Burned my grandmas arm,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-04
9,"After using the watch less than 17 days - the watch came off the wrist, fell and hit the concrete. It is now cracked. All because of the cheap useless wrist band. Apple should be ashamed.",The wrist band is junk,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-12
10,Description on the page is very misleading. It does NOT work without carrying a phone with it. Family sharing will not work. Can’t use an iPad to link it to either. Watch is a total waste,Doesn’t work for family sharing or without a phone,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-08
11,"I purchased this watch because my previous one had stopped working after several  years.  I work out frequently and love to track my workouts and compete with friends and family.  Needless to say , within a month this refurbished watch stopped taking a full charge and stop accurately tracking the times for my workouts.  I am so frustrated and unfortunately did not select the insurance so NOW I  am stuck with an watch that does not perform The main function I purchased it for… just buy NEW if you can.  Not worth the money.",Stopped working in a month,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-10-31
12,My daughter just opened this as a present and is extremely disappointed that no WATCH was included in the package! We would like to have it replaced with what was actually ordered but that is not one of the options offered. It was a Black Friday deal but definitely a SCAM to pay for just a band!,No WATCH included!,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-12
13,"This was disappointing. Battery full charge lasts less than 24 hours! And return option on Amazon doesn't work!!! I need to figure out a way to contact amazon and return this useless watch,”.",Battery dies in a day,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-10
14,"I returned the watch over a week ago because it was not compatible with my older iPhone and still have not received my refund, and they will not return my emails.",Horrible Transcaction,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2024-01-09
15,Didn't work -- wouldn't sync with phone and yet the one I bought at the apple store did without issue.  Refund also not processed and item was returned to the UPS store as instructed.  You owe me $219.00,REFUND NOT PROCESSED AND ITEM RECEIVED,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-09-20
16,Phone wouldn’t turn on. We’ve never had this happen with an Apple product. Worst part is that I bought it on Black Friday sale and they won’t replace it. Amazon will only offer a refund so my daughter doesn’t have her Christmas gift and I have to pay more money!!! Super disappointed!!!,Doesn’t work-bad customer service,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-25
17,Unfortunately I bought this too early and set aside for Christmas for my granddaughter and the return window has passed.  It’s Christmas and she was super excited to receive this but the charger does not work.  We are now trying to charge on another charger.  So so disappointed,Defective,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-12-25
18,It’s nice it tracks your sleep if the battery would last long enough.  Doesn’t even last 24 hours and I’m not on my phone/ watch at work!!!!,Battery sucks,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-09
19,"I bought this as a Christmas gift, but when it arrived the only thing in the Apple Watch box was the charging cord! There was no watch or watch band! I have requested a refund and will be returning the empty box. Beware!!!",No watch in the box!!,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 44mm', 'Style: One Size - fits 145–220mm wrists', 'Configuration: Without AppleCare+']",2023-12-14
20,"The watch is easy to set up and impossible to charge. I tried plugging it into a USB-C port on my laptop and it charges occasionally. I thought I missed something in the box but NOOO. There's a cable, but not a USB-C plug-in included. That's just shoddy customer service. At least clearly label that you need to buy it. And it's $15.",REALLY? All that money and it doesn't come with a charger,1.0,"['Color: Silver Aluminum Case with Winter Blue Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-22
21,"Besides wasting my time and effort in trying to set up this, refurbished un-pairable Apple Watch, merchant continually delayed my refund status for a month after timely receiving Apple Watch until I had to call Amazon and get them involved and getting my refund for this POS from this delinquent merchant!",Apple watch “unpairable” defective “refurbished”,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-19
22,We ordered this for a Christmas gift and my kid happily opened it excited to finally have an Apple Watch BUT NO WATCH CAME!!! It was just the band and they were at the verge of tears because they've wanted this for years!,DID NOT COME WITH THE WATCH!!,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 44mm', 'Style: S/M - fits 140–190mm wrists', 'Configuration: Without AppleCare+']",2023-12-25
23,"I received a refurbished one, I thought it was a new one and when I opened the box, I found out that there was a previous owner.",Received a refurbished one and it is locked!,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-25
24,the product was not able to pair...and you have not credited ME. what's going on????//,warning a problem with this item an refunding is a nightmare !!!!!!!!!,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-11-22
25,"Bought this watch three times, when the battery goes the whole watch goes. Doesn’t turn on no matter how long on the charge. Awful",Charging,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2024-01-06
26,Bought a refurbished Apple iwatch 8. When I got it I was so excited. It looked new except I could not pair it with my iPhone. It was connected somehow to a previous owner’s cloud and account. Terrible experience. Now I’ll have to either return it for a refund or jump through unnecessary hoops to get this resolved. Not ok,My refurbished Apple Watch was a mess,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 44mm', 'Style: S/M - fits 140–190mm wrists', 'Configuration: Without AppleCare+']",2023-11-25
27,Batteries died in less than a day of normal day imagine a day of work first night I decided to check my sleeping schedule and morning is red lighting bolt telling me is about to die to check my night of sleep the watch needs to charge during the day no way Jose. Go back to ur warehouses,Batteries are weak for a day of work,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-25
