review,title,rating,date,size,color
"The shoe is comfortable but after wearing for 6 months the tread of the shoe is completely gone and the air pockets are sticking out of the bottom of the shoe. I just wear them casually, no sports or activities that would increase the wear of the shoe. Very poor quality for the price.",Poor quality,1,1/1/24,10,Cool Grey/Anthracite-dark Grey
The shoes that I bought were advertised not as used but upon receiving them they were very much used scuffed up and poor quality,Don't buy from this seller.,1,1/19/24,10,Cool Grey/Anthracite-dark Grey
Air pockets blew out within a month. Contacted seller and got no response.,Dissatisfied,1,11/23/23,9,Black/White/Anthracite
Both shoes have minor creases and scuff marks/blemishes all over leading me to believe they have been worn before.,Never been worn?,1,10/19/23,12,Black/Black/Black
Had theses for 1 day over 2 months and the right shoe air bubble is popped! I wear for morning dog walks that’s it. It’s bs!,Had for 1 day over 2 months,1,9/4/23,7,Cool Grey/Anthracite-dark Grey
I have ordered three of the exact Nike Air Zooms over the last year and the heel air pocket has collapsed on all pairs. The last pair last less than three months.,Air pocket collapse,1,8/12/23,10,Cool Grey/Anthracite-dark Grey
"The shoes feel and look nice. Unfortunately the quality of the sole does not live up to expectations. After years of using ASICS, I bought my first Nike again, and am thoroughly disappointed. After running only 60 miles or so, the one heal is through, and the other almost. Sadly I only noticed after the 30 day return window was passed. BTW, if you order from Nike, you will get a 60 day return window. Fail on Nike for the poor quality, and fail on Amazon for not offering the same return policy as Nike.",Not for running!,1,10/19/22,13,Black/White/Anthracite
"I understand these aren’t brand new 2022 air maxes- but when I spent $280 on these shoes I expect them to be perfect and last awhile. The sole of the shoe “popped” 2 weeks after buying them. It must have been a seem. The seller told me to take them to a Nike store because they would be under warranty- wel let me tel you if you purchase from a 3rd party company- they do not honor the warranty because they weren’t purchased directly through Nike- even though we’re paying the same amount. Save yourself the TIME and MONEY, but from a Nike Store. NOTE: the seller finally accepted a refund- just ridiculous though!",Product was defective,1,4/8/22,9,Black/White/Anthracite
These shoes I ordered were the last pair in my size and of course someone had been wearing them for a good little bit of time cause both shoes had worn soles and were already leaning. Totally disappointing,Worn out,1,5/23/23,9,White/Dark Grey-wolf Grey
It took almost two weeks for these to arrive and when they did they came without a box or anything else that comes with new shoes and look like they have been worn before.,Came without a box and look worn!,1,5/12/23,13,White/Dark Grey-wolf Grey
"Did not last long, bought another pair of running shoes with out the air.",The air pockets popped first week of use,1,8/31/23,12,Black/Black/Black
Is there less than a star I could give to this product and especially the Seller GoodSports Outdoor ?,GoodSports Outdoor - didn't admit this was a bad product and blamed me on excessive use. Amazon returned my money.,1,11/10/17,10,Black/Anthracite/White
"Shoes blew a heel, seller hasn't responded.  Buyer beware, these are horribly overpriced",Wore out super fast,1,7/31/23,13,Black/Black/Black
"Walked around for one week and the air part blew out. I spent almost $200 on these shoes. This is absolutely horrible. They’re good looking shoes and I love air maxes, but it is what it is.",The heel blew out 1 week into owning,1,4/13/23,10,Cool Grey/Anthracite-dark Grey
