,review,title,rating,purchased_product,date
0,"Just got the shirt for Christmas, put it on for the first time and noticed a tear down the right arm. Have bought several similar shirts in other colors, and loved them. But maybe they aren’t made like they used to be…(?!?!)",Poor Quality…,1.0,"['Special Size: Standard', 'Size: Small', 'Color: (369) Lime Surge / / Black']",2024-01-02
1,"I ordered xl tall. I'm 6 '3"" and this shirt barely reaches my belt line. For perspective,  My Regular XL shirts from UA are about 2"" longer than this shirt... DONT BUY IF YOU WANT AN ACTUAL TALL","Tall is not "" tall""",1.0,"['Special Size: Tall', 'Size: X-Large Tall', 'Color: Black']",2023-12-30
2,Material is see through,Not worth the money,1.0,"['Special Size: Standard', 'Size: XX-Large', 'Color: Carbon Heather (090)/Black']",2023-12-18
3,I ordered XLT and what I got would not fit a 3rd grader.  Horrible,Horrible sizing,1.0,"['Special Size: Tall', 'Size: X-Large Tall', 'Color: Academy Blue (409)/Steel']",2023-12-14
4,"""Sonar blue"" looks blue in the picture, but is very much purple. Will be returning.",Returning,1.0,"['Special Size: Standard', 'Size: Medium', 'Color: (468) Sonar Blue / / Black']",2023-11-27
5,"Product is normal length arms but the torso piece is short. It's also extremely tight. I should have bought at least a size larger than I did, possibly 2 with how tight this thing fits. At least one size up is necessary unless you want your stomach showing every time you raise your arms.",Short Torso,1.0,"['Special Size: Standard', 'Size: Large', 'Color: (508) Birdie Green / Coastal Teal / Black']",2023-07-13
6,Great weight and fluorescent color for running at night but washed it OUNCE  and now has multiple holes.. very unhappy!,Washed once and multiple holes - useless,1.0,"['Special Size: Standard', 'Size: Large', 'Color: (369) Lime Surge / / Black']",2023-10-12
7,"Found this on sale for $20. Figured i would give it a try as i need lightweight stuff as im always hot.  This thing is crazy thin. I imagine its gonna fall apart after a few washes. Im sitting here debating of whether or not to keep it.  The sleeves are WAY too long. I have shorter arms, so usually everything is long, but holy crap this one is like 3 inches too big. I'll be forced to roll the sleeves.  The zipper does not zip all the way up as the picture shows as well. My zipper only goes to 3/4.",crazy thin material. super long sleeves.,1.0,"['Special Size: Standard', 'Size: 3X-Large', 'Color: Black (001)/Charcoal']",2022-06-29
8,I am not happy at all. The original pullover arrived smelling like body odor. I never even received the 2nd shipment.  Inexcusable.,Never received it,1.0,"['Special Size: Standard', 'Size: Large', 'Color: Black']",2023-08-29
9,lmao i went to roll the sleeve up and this thing ripped apart at the seem by my elbow.. super thin!!,"RIPPED, DAY 1, like 15 minutes in!",1.0,"['Special Size: Standard', 'Size: X-Small', 'Color: Black (001)/Charcoal']",2023-08-03
10,"The feel of the fabric is ""ick"". It is stiff and doesn't feel breathable at all: Think 1970s polyester button up. It also runs very small for men's sizing (for reference I am a female, 5ft9, size 10/12 and typically wear a men's small for a slightly fitted but comfortable fit). I really like under Armour but I don't think this I actual under armour it feels very low quality",Is this really under armour???,1.0,"['Special Size: Standard', 'Size: Small', 'Color: Halo Gray (014)/White']",2023-01-27
11,How can they even sell it? I have not seen a thinner fabric. UA? So what? I would not a single dollar. I am returning. Waste of time.,"So thin, very low quality",1.0,"['Special Size: Standard', 'Size: Small', 'Color: Black (001)/Charcoal']",2023-07-13
12,"Good quality and materials, but I am very disappointed with the product. It is failed. It comes with a hole in the middle.",it has a hole in the middle,1.0,"['Special Size: Standard', 'Size: Medium', 'Color: Halo Gray (014)/White']",2023-07-24
13,Very poor quality - material is so thin you can see through.,Poor Material,1.0,"['Special Size: Standard', 'Size: X-Large', 'Color: (468) Sonar Blue / / Black']",2023-09-10
14,I ordered a men’s large for my father and got a women’s large. Unfortunately they are cut differently so that won’t work. I’m disappointed as this was a Father’s Day gift.,"Right size, wrong gender",1.0,"['Special Size: Standard', 'Size: Large', 'Color: Carbon Heather (090)/Black']",2023-06-19
15,Definitely not normal UA quality.  Very thin and runs about 2 sizes small.  I would not buy this again.,Very thin and runs small,1.0,"['Special Size: Tall', 'Size: 4X-Large Tall', 'Color: Carbon Heather (090)/Black']",2023-06-16
16,I checked the tags and it shows that it is their version of red but it’s definitely orange!,"It’s not red, it’s orange!",1.0,"['Special Size: Standard', 'Size: 3X-Large', 'Color: Radiant Red (839)/Black']",2023-07-21
