,review,rating_sent
0,"True to size. Very comfortable, look and feel great. Easy to clean.",positive
1,"They can be a little tight when you first start wearing them, some squeak a little, but after a trip in the washing machine they stop.",positive
2,Felt different at first then it alleviate some pain in my knees after work out.,positive
3,Better than expected!,positive
4,"Still one of the best Nike running shoes with good cushion, shock absorbing hells, much better than the later models with flimsy uppers and thin plastic sides. I still get the 2017 and 2016 Sir Max model wherever I can!",positive
5,Bought for daily use and these work great.,positive
6,The image in the Amazon listing is a black sneaker with a black Nike logo. However the sneakers that arrive are a black sneaker with a silver/white Nike logo. It’s not a big deal because the sneaker is a good quality sneaker but just figured I should point it out in case someone is particularly picky on the colors and someone wanting the exact product on the listings image. I just took a black sharpie and colored the Nike logo to make it black.,positive
7,They are for my son. He fell 8 feet and so he basically has no heel on that foot. The 2017 Nike Air’s are the only shoe he can wear. It helps keep his back in alignment!!!,positive
8,"A little expensive but I was willing to spend the extra money for quality. They look nice but not even a week after having them one would squeak every step I took.(right shoe) Shorty after that the left shoe got warn away by the plastic on the inside, and it was poking into my ankle. They were really nice when I first got them and I used them like regular shoes. Didn’t get them wet or anything. I barely wore them. Nike makes good products, but not this one. Save your money or buy a different shoe.",negative
9,"Delivered a day early, it was the fastest I’ve had a delivery from CA. Perfect fit and exactly what I was expecting.",positive
10,He loved the shoes and says they are comfy,positive
11,"These Nikes are okay.  They squeak loudly on computer floors (LOL), but other than that, they I have no issues with them.",positive
12,"Bought these shoes in Feb and by May, the toe had completed peeled  ack and both shoes had the air pockets rupture. I don't run in these. These are just my daily office and walking around shoes. I can't believe the trash Nike would put their mark on. Never again will I buy a pair of these crappy shoes.",positive
13,These are great shoes. They wear well and he says they are super comfy. JUST WAY WAY OVERPRICED.  Does Nike live in the same world we do? Because someone did not tell them about Biden economics. Still...love the tennis shoes!,positive
14,The shoes fit true to size and very comfortable.,positive
15,Air bubble popped first week.,negative
16,great price and stylish,positive
17,Great sneakers arrive quickly. Very happy with the purchase.,positive
18,"Very comfortable, nice shoe!",positive
19,I love how comfortable they feel it’s like your walking on a cloud the most comfortable Nike shoes I own plus they are very nice looking.,positive
20,Perfect fit n size,positive
21,I really like the shoes it’s just that they didn’t fit I would like a bigger size like a 11.5 wide thank you,positive
22,fits well and looks good.,positive
23,"Unfortunately the bubble burst, but thankfully for a refund.",negative
24,"Item were payed as if new but clearly are used, even box is not Nike.",negative
25,easy to air leakage,negative
26,The shoes were used and the right shoes air pocket was flat. Will be wanting my money back.,negative
27,True to size very comfortable and nice look.,positive
28,I have 12 of them different colors brand new in the boxes. To me the 2017 is the best design Nike ever made. The 2019 sorry not my style and they don’t look classy like the 2017 or 2015 models that’s for sure.,positive
29,"Exactly what I order, and came faster than expected.",positive
30,Absolutely like walking on air. There so light and comfortable.,positive
31,Great fit and exact size as ordered ... will buy more different colors if available,positive
32,Poorly made the side tore out in the first month and the air pockets blew not long after wards couldn't return because it expired. Wouldn't recommend buying these shoes,negative
33,Very disappointed in nikes quality this shoe started coming apart in less than 30days that is not the nike that i know quality has went way down over last few yrs same on you nike,negative
34,"The delivery was great, the sneakers came two days earlier than expected.  However, the sneakers are ruined because there is a dark black mark on the front outer left shoe like a black sharpie mark",neutral
35,Shipping was as excellent received in 2 days. Shoes looked as shown online.,positive
36,Great kicks just as advertised,positive
37,I m wearing this product,positive
38,Excellent for walking and exercising.,positive
39,Like,positive
40,"First I received 2 left shoes and thank goodness the line was too long to return those as my replacement box contained 2 right shoes. I can not make this up!!! Fortunately, I am now able to have an actual pair between the 2 deliveries. I still get to go and return a pair now. Thanks...",negative
